,word,lemma,pos,nmb_text,nmb_sent,nmb_word
5719,объят,объять,PRTS,61,1,5
5720,серой,серый,ADJF,61,1,6
5721,пеленой,пелена,NOUN,61,1,7
5722,и,и,CONJ,61,1,8
5723,я,я,NPRO,61,1,9
5724,знал,знать,VERB,61,1,10
5725,твёрдо,твёрдо,ADVB,61,1,11
5726,что,что,CONJ,61,1,12
5727,за,за,PREP,61,1,13
5728,дымно,дымно,ADVB,61,1,14
5729,клубящимся,клубиться,PRTF,61,1,15
5730,сводом,свод,NOUN,61,1,16
5731,сон,сон,NOUN,61,1,17
5732,а,а,CONJ,61,1,18
5733,здесь,здесь,ADVB,61,1,19
5734,внутри,внутри,PREP,61,1,20
5735,бесплотного,бесплотный,ADJF,61,1,21
5736,шатра,шатёр,NOUN,61,1,22
5737,за,за,PREP,61,1,23
5738,которым,который,ADJF,61,1,24
5739,плыла,плыть,VERB,61,1,25
5740,нереальность,нереальность,NOUN,61,1,26
5741,здесь,здесь,ADVB,61,1,27
5742,была,быть,VERB,61,1,28
5743,явь,явь,NOUN,61,1,29
5744,был,быть,VERB,61,2,1
5745,гладкоструганый,гладкоструганый,ADJF,61,2,2
5746,сосновый,сосновый,ADJF,61,2,3
5747,стол,стол,NOUN,61,2,4
5748,тонкий,тонкий,ADJF,61,2,5
5749,чайный,чайный,ADJF,61,2,6
5750,стакан,стакан,NOUN,61,2,7
5751,над,над,PREP,61,2,8
5752,которым,который,ADJF,61,2,9
5753,я,я,NPRO,61,2,10
5754,постепенно,постепенно,ADVB,61,2,11
5755,сдвигал,сдвигать,VERB,61,2,12
5756,дрожащие,дрожать,PRTF,61,2,13
5757,от,от,PREP,61,2,14
5758,напряжения,напряжение,NOUN,61,2,15
5759,ладони,ладонь,NOUN,61,2,16
5760,и,и,CONJ,61,2,17
5761,стакан,стакан,NOUN,61,2,18
5762,оживал,оживать,VERB,61,2,19
5763,еле,еле,ADVB,61,2,20
5764,заметно,заметно,ADVB,61,2,21
5765,начинал,начинать,VERB,61,2,22
5766,двигаться,двигаться,INFN,61,2,23
5767,и,и,CONJ,61,2,24
5768,когда,когда,CONJ,61,2,25
5769,ток,ток,NOUN,61,2,26
5770,крови,кровь,NOUN,61,2,27
5771,с,с,PREP,61,2,28
5772,рёвом,рёв,NOUN,61,2,29
5773,зашумел,зашуметь,VERB,61,2,30
5774,во,в,PREP,61,2,31
5775,мне,я,NPRO,61,2,32
5776,стакан,стакан,NOUN,61,2,33
5777,оторвался,оторваться,VERB,61,2,34
5778,от,от,PREP,61,2,35
5779,стола,стол,NOUN,61,2,36
5780,и,и,CONJ,61,2,37
5781,повис,повиснуть,VERB,61,2,38
5782,в,в,PREP,61,2,39
5783,воздухе,воздух,NOUN,61,2,40
5784,стакан,стакан,NOUN,61,2,41
5785,висел,висеть,VERB,61,2,42
5786,удерживаемый,удерживать,PRTF,61,2,43
5787,только,только,ADVB,61,2,44
5788,моей,мой,ADJF,61,2,45
5789,волей,воля,NOUN,61,2,46
5790,и,и,CONJ,61,2,47
5791,ощущение,ощущение,NOUN,61,2,48
5792,необычайного,необычайный,ADJF,61,2,49
5793,счастья,счастие,NOUN,61,2,50
5794,чувство,чувство,NOUN,61,2,51
5795,огромной,огромный,ADJF,61,2,52
5796,внутренней,внутренний,ADJF,61,2,53
5797,силы,сила,NOUN,61,2,54
5798,затопило,затопить,VERB,61,2,55
5799,меня,я,NPRO,61,2,56
5800,я,я,NPRO,61,2,57
5801,вспомнил,вспомнить,VERB,61,2,58
5802,название,название,NOUN,61,2,59
5803,имя,имя,NOUN,61,2,60
5804,этой,этот,ADJF,61,2,61
5805,силе,сила,NOUN,61,2,62
5806,и,и,CONJ,61,2,63
5807,закричал,закричать,VERB,61,2,64
5808,освобождение,освобождение,NOUN,61,2,65
5809,телекинез,телекинез,NOUN,61,2,66
5810,и,и,CONJ,61,3,1
5811,стакан,стакан,NOUN,61,3,2
5812,ерзливо,ерзливый,ADJS,61,3,3
5813,выскользнул,выскользнуть,VERB,61,3,4
5814,из,из,PREP,61,3,5
5815,моих,мой,ADJF,61,3,6
5816,разомкнутых,разомкнуть,PRTF,61,3,7
5817,ладоней,ладонь,NOUN,61,3,8
5818,и,и,CONJ,61,3,9
5819,с,с,PREP,61,3,10
5820,пронзительным,пронзительный,ADJF,61,3,11
5821,звоном,звон,NOUN,61,3,12
5822,полетел,полететь,VERB,61,3,13
5823,вниз,вниз,ADVB,61,3,14
5824,разлетаясь,разлетаться,GRND,61,3,15
5825,на,на,PREP,61,3,16
5826,куски,кусок,NOUN,61,3,17
5827,ещё,ещё,ADVB,61,3,18
5828,до,до,PREP,61,3,19
5829,того,тот,ADJF,61,3,20
5830,как,как,CONJ,61,3,21
5831,ударился,удариться,VERB,61,3,22
5832,об,о,PREP,61,3,23
5833,пол,пол,NOUN,61,3,24
5834,и,и,CONJ,61,3,25
5835,выбросил,выбросить,VERB,61,3,26
5836,меня,я,NPRO,61,3,27
5837,из,из,PREP,61,3,28
5838,моего,мой,ADJF,61,3,29
5839,отчётливого,отчётливый,ADJF,61,3,30
5840,убежища,убежище,NOUN,61,3,31
5841,яви,явь,NOUN,61,3,32
5842,в,в,PREP,61,3,33
5843,мутную,мутный,ADJF,61,3,34
5844,облачность,облачность,NOUN,61,3,35
5845,сна,сон,NOUN,61,3,36
5846,и,и,CONJ,61,3,37
5847,только,только,ADVB,61,3,38
5848,непрерывный,непрерывный,ADJF,61,3,39
5849,звон,звон,NOUN,61,3,40
5850,сопровождал,сопровождать,VERB,61,3,41
5851,меня,я,NPRO,61,3,42
5852,на,на,PREP,61,3,43
5853,всем,весь,ADJF,61,3,44
5854,долгом,долг,NOUN,61,3,45
5855,пути,путь,NOUN,61,3,46
5856,пока,пока,ADVB,61,3,47
5857,я,я,NPRO,61,3,48
5858,плыл,плыть,VERB,61,3,49
5859,наверх,наверх,ADVB,61,3,50
5860,через,через,PREP,61,3,51
5861,бесконечную,бесконечный,ADJF,61,3,52
5862,толщу,толща,NOUN,61,3,53
5863,видений,видение,NOUN,61,3,54
5864,из,из,PREP,61,3,55
5865,своего,свой,ADJF,61,3,56
5866,затопленного,затопить,PRTF,61,3,57
5867,батискафа,батискаф,NOUN,61,3,58
5868,яви,явь,NOUN,61,3,59
5869,где,где,ADVB,61,3,60
5870,я,я,NPRO,61,3,61
5871,владел,владеть,VERB,61,3,62
5872,волшебной,волшебный,ADJF,61,3,63
5873,силой,сила,NOUN,61,3,64
5874,телекинеза,телекинез,NOUN,61,3,65
5875,мой,мой,ADJF,62,1,1
5876,муж,муж,NOUN,62,1,2
5877,знает,знать,VERB,62,1,3
5878,всё,всё,PRCL,62,1,4
5879,фигурально,фигурально,ADVB,62,2,1
5880,выражаясь,выражаться,GRND,62,2,2
5881,конечно,конечно,CONJ,62,2,3
5882,наверное,наверное,CONJ,62,3,1
5883,никто,никто,NPRO,62,3,2
5884,не,не,PRCL,62,3,3
5885,знает,знать,VERB,62,3,4
5886,всего,весь,ADJF,62,3,5
5887,но,но,CONJ,62,4,1
5888,объём,объём,NOUN,62,4,2
5889,сведений,сведение,NOUN,62,4,3
5890,средней,средний,ADJF,62,4,4
5891,энциклопедии,энциклопедия,NOUN,62,4,5
5892,рационально,рационально,ADVB,62,4,6
5893,и,и,CONJ,62,4,7
5894,надёжно,надёжно,ADVB,62,4,8
5895,размещён,разместить,PRTS,62,4,9
5896,в,в,PREP,62,4,10
5897,его,он,NPRO,62,4,11
5898,голове,голова,NOUN,62,4,12
5899,суховатой,суховатый,ADJF,62,4,13
5900,ладно,ладный,ADJS,62,4,14
5901,посаженной,посадить,PRTF,62,4,15
5902,всегда,всегда,ADVB,62,4,16
5903,красиво,красиво,ADVB,62,4,17
5904,подстриженной,подстричь,PRTF,62,4,18
5905,и,и,CONJ,62,4,19
5906,причёсанной,причесать,PRTF,62,4,20
5907,этих,этот,ADJF,62,5,1
5908,сведений,сведение,NOUN,62,5,2
5909,у,у,PREP,62,5,3
5910,него,он,NPRO,62,5,4
5911,наверное,наверное,CONJ,62,5,5
5912,чуть,чуть,ADVB,62,5,6
5913,меньше,маленький,COMP,62,5,7
5914,чем,чем,CONJ,62,5,8
5915,в,в,PREP,62,5,9
5916,большой,большой,ADJF,62,5,10
5917,энциклопедии,энциклопедия,NOUN,62,5,11
5918,но,но,CONJ,62,5,12
5919,уж,уж,ADVB,62,5,13
5920,наверняка,наверняка,ADVB,62,5,14
5921,больше,большой,COMP,62,5,15
5922,чем,чем,CONJ,62,5,16
5923,в,в,PREP,62,5,17
5924,малой,малый,ADJF,62,5,18
5925,и,и,CONJ,62,6,1
5926,это,это,PRCL,62,6,2
5927,совсем,совсем,ADVB,62,6,3
5928,неплохо,неплохо,ADVB,62,6,4
5929,держать,держать,INFN,62,6,5
5930,в,в,PREP,62,6,6
5931,голове,голова,NOUN,62,6,7
5932,средний,средний,ADJF,62,6,8
5933,универсальный,универсальный,ADJF,62,6,9
5934,свод,свод,NOUN,62,6,10
5935,систематизированных,систематизировать,PRTF,62,6,11
5936,знаний,знание,NOUN,62,6,12
5937,будь,быть,VERB,62,7,1
5938,у,у,PREP,62,7,2
5939,меня,я,NPRO,62,7,3
5940,больше,большой,COMP,62,7,4
5941,времени,время,NOUN,62,7,5
5942,любознательности,любознательность,NOUN,62,7,6
5943,и,и,CONJ,62,7,7
5944,ума,ум,NOUN,62,7,8
5945,я,я,NPRO,62,7,9
5946,бы,бы,PRCL,62,7,10
5947,за,за,PREP,62,7,11
5948,пятнадцать,пятнадцать,NUMR,62,7,12
5949,лет,год,NOUN,62,7,13
5950,прожитых,прожить,PRTF,62,7,14
5951,совместно,совместно,ADVB,62,7,15
5952,с,с,PREP,62,7,16
5953,витечкой,витечка,NOUN,62,7,17
5954,сама,сам,ADJF,62,7,18
5955,успела,успеть,VERB,62,7,19
5956,стать,стать,INFN,62,7,20
5957,энциклопедически,энциклопедически,ADVB,62,7,21
5958,сведущей,сведущий,ADJF,62,7,22
5959,девушкой,девушка,NOUN,62,7,23
5960,легко,легко,ADVB,62,7,24
5961,естественно,естественно,ADVB,62,7,25
5962,необременительно,необременительный,ADJS,62,7,26
5963,как,как,CONJ,62,7,27
5964,обучаются,обучаться,VERB,62,7,28
5965,люди,человек,NOUN,62,7,29
5966,во,в,PREP,62,7,30
5967,сне,сон,NOUN,62,7,31
