,word,lemma,pos,nmb_text,nmb_sent,nmb_word
294,оставалось,оставаться,VERB,3,6,12
295,.идти,.идти,INFN,3,6,13
296,около,около,PREP,3,6,14
297,двух,два,NUMR,3,6,15
298,часов,час,NOUN,3,6,16
299,жизнь,жизнь,NOUN,4,1,1
300,сама,сам,ADJF,4,1,2
301,по,по,PREP,4,1,3
302,себе,себя,NPRO,4,1,4
303,ни,ни,PRCL,4,1,5
304,благо,благо,NOUN,4,1,6
305,ни,ни,PRCL,4,1,7
306,зло,зло,NOUN,4,1,8
307,она,она,NPRO,4,1,9
308,вместилище,вместилище,NOUN,4,1,10
309,и,и,CONJ,4,1,11
310,блага,благо,NOUN,4,1,12
311,в,в,PREP,4,1,13
312,зла,зло,NOUN,4,1,14
313,смотря,смотреть,GRND,4,1,15
314,по,по,PREP,4,1,16
315,тому,тот,ADJF,4,1,17
316,во,в,PREP,4,1,18
317,что,что,CONJ,4,1,19
318,вы,вы,NPRO,4,1,20
319,сами,сам,ADJF,4,1,21
320,превратили,превратить,VERB,4,1,22
321,её,она,NPRO,4,1,23
322,монтень,монтень,NOUN,4,2,1
323,эпизод,эпизод,NOUN,4,2,2
324,первый,первый,ADJF,4,2,3
325,1,1,,4,2,4
326,мне,я,NPRO,4,2,5
327,всегда,всегда,ADVB,4,2,6
328,не,не,PRCL,4,2,7
329,нравится,нравиться,VERB,4,2,8
330,иметь,иметь,INFN,4,2,9
331,дело,дело,NOUN,4,2,10
332,с,с,PREP,4,2,11
333,опытными,опытный,ADJF,4,2,12
334,образцами,образец,NOUN,4,2,13
335,а,а,CONJ,4,3,1
336,здесь,здесь,ADVB,4,3,2
337,мне,я,NPRO,4,3,3
338,придётся,прийтись,VERB,4,3,4
339,пользоваться,пользоваться,INFN,4,3,5
340,этой,этот,ADJF,4,3,6
341,идиотской,идиотский,ADJF,4,3,7
342,винтовкой,винтовка,NOUN,4,3,8
343,симонова,симоново,NOUN,4,3,9
344,у,у,PREP,4,3,10
345,которой,который,ADJF,4,3,11
346,в,в,PREP,4,3,12
347,решающий,решающий,ADJF,4,3,13
348,момент,момент,NOUN,4,3,14
349,может,мочь,VERB,4,3,15
350,просто,просто,PRCL,4,3,16
351,заклинить,заклинить,INFN,4,3,17
352,затвор,затвор,NOUN,4,3,18
353,из-за,из-за,PREP,4,3,19
354,перекоса,перекос,NOUN,4,3,20
355,затвора,затвор,NOUN,4,3,21
356,при,при,PREP,4,3,22
357,стрельбе,стрельба,NOUN,4,3,23
358,правда,правда,PRCL,4,4,1
359,жаловаться,жаловаться,INFN,4,4,2
360,уже,уже,ADVB,4,4,3
361,поздно,поздно,ADVB,4,4,4
362,к,к,PREP,4,5,1
363,тому,тот,ADJF,4,5,2
364,же,же,PRCL,4,5,3
365,я,я,NPRO,4,5,4
366,успел,успеть,VERB,4,5,5
367,пристрелять,пристрелять,INFN,4,5,6
368,эту,этот,ADJF,4,5,7
369,чёртову,чёртов,ADJF,4,5,8
370,винтовку,винтовка,NOUN,4,5,9
371,теперь,теперь,ADVB,4,6,1
372,нужно,нужно,PRED,4,6,2
373,сидеть,сидеть,INFN,4,6,3
374,на,на,PREP,4,6,4
375,холодном,холодный,ADJF,4,6,5
376,чердаке,чердак,NOUN,4,6,6
377,и,и,CONJ,4,6,7
378,ждать,ждать,INFN,4,6,8
379,когда,когда,CONJ,4,6,9
380,появится,появиться,VERB,4,6,10
381,этот,этот,ADJF,4,6,11
382,толстомордый,толстомордый,ADJF,4,6,12
383,банкир,банкир,NOUN,4,6,13
384,обычно,обычно,ADVB,4,7,1
385,я,я,NPRO,4,7,2
386,очень,очень,ADVB,4,7,3
387,внимательно,внимательно,ADVB,4,7,4
388,смотрю,смотреть,VERB,4,7,5
389,в,в,PREP,4,7,6
390,лица,лицо,NOUN,4,7,7
391,своих,свой,ADJF,4,7,8
392,``,``,,4,7,9
393,клиентов,клиент,NOUN,4,7,10
394,'','',,4,7,11
395,наша,наш,ADJF,5,1,1
396,житейская,житейский,ADJF,5,1,2
397,ярмарка,ярмарка,NOUN,5,1,3
398,тщеславия,тщеславие,NOUN,5,1,4
399,свершается,свершаться,VERB,5,1,5
400,на,на,PREP,5,1,6
401,площади,площадь,NOUN,5,1,7
402,окружённой,окружить,PRTF,5,1,8
403,четырьмя,четыре,NUMR,5,1,9
404,зданиями,здание,NOUN,5,1,10
405,больницей,больница,NOUN,5,1,11
406,сумасшедшим,сумасшедший,ADJF,5,1,12
407,домом,дом,NOUN,5,1,13
408,богадельней,богадельный,COMP,5,1,14
409,и,и,CONJ,5,1,15
410,тюрьмой,тюрьма,NOUN,5,1,16
411,жильбер,жильбер,NOUN,5,2,1
412,сесброн,сесброн,NOUN,5,2,2
413,``,``,,5,3,1
414,счастье,счастие,NOUN,5,3,2
415,по,по,PREP,5,3,3
416,пустякам,пустяк,NOUN,5,3,4
417,'','',,5,3,5
418,я,я,NPRO,5,3,6
419,расскажу,рассказать,VERB,5,3,7
420,вам,вы,NPRO,5,3,8
421,эту,этот,ADJF,5,3,9
422,историю,история,NOUN,5,3,10
423,так,так,CONJ,5,3,11
424,как,как,CONJ,5,3,12
425,она,она,NPRO,5,3,13
426,произошла,произойти,VERB,5,3,14
427,ни,ни,PRCL,5,4,1
428,прибавляя,прибавлять,GRND,5,4,2
429,ни,ни,PRCL,5,4,3
430,слова,слово,NOUN,5,4,4
431,ничего,ничего,ADVB,5,4,5
432,не,не,PRCL,5,4,6
433,придумывая,придумывать,GRND,5,4,7
434,да,да,PRCL,5,5,1
435,это,это,PRCL,5,5,2
436,и,и,CONJ,5,5,3
437,ни,ни,PRCL,5,5,4
438,к,к,PREP,5,5,5
439,чему,что,NPRO,5,5,6
440,сама,сам,ADJF,5,6,1
441,по,по,PREP,5,6,2
442,себе,себя,NPRO,5,6,3
443,она,она,NPRO,5,6,4
444,настолько,настолько,ADVB,5,6,5
445,драматична,драматичный,ADJS,5,6,6
446,что,что,CONJ,5,6,7
447,сочинить,сочинить,INFN,5,6,8
448,её,она,NPRO,5,6,9
449,можно,можно,PRED,5,6,10
450,только,только,ADVB,5,6,11
451,в,в,PREP,5,6,12
452,бреду,бреда,NOUN,5,6,13
453,сейчас,сейчас,ADVB,5,7,1
454,мне,я,NPRO,5,7,2
455,даже,даже,PRCL,5,7,3
456,кажется,казаться,VERB,5,7,4
457,что,что,CONJ,5,7,5
458,всё,всё,PRCL,5,7,6
459,произошедшее,произойти,PRTF,5,7,7
460,настолько,настолько,ADVB,5,7,8
461,невероятно,невероятно,ADVB,5,7,9
462,что,что,CONJ,5,7,10
463,некоторые,некоторый,ADJF,5,7,11
464,детали,деталь,NOUN,5,7,12
465,я,я,NPRO,5,7,13
466,начинаю,начинать,VERB,5,7,14
467,додумывать,додумывать,INFN,5,7,15
468,если,если,CONJ,5,7,16
469,уж,уж,ADVB,5,7,17
470,фантастика,фантастика,NOUN,5,7,18
471,то,то,CONJ,5,7,19
472,пусть,пусть,PRCL,5,7,20
473,ею,она,NPRO,5,7,21
474,и,и,CONJ,5,7,22
475,будет,быть,VERB,5,7,23
476,но,но,CONJ,5,8,1
477,и,и,CONJ,5,8,2
478,это,это,PRCL,5,8,3
479,зря,зря,ADVB,5,8,4
480,в,в,PREP,5,8,5
481,жизни,жизнь,NOUN,5,8,6
482,вероятным,вероятный,ADJF,5,8,7
483,оказалось,оказаться,VERB,5,8,8
484,самое,самый,ADJF,5,8,9
485,невероятное,невероятный,ADJF,5,8,10
486,фатум,фатум,NOUN,5,9,1
487,судьбы,судьба,NOUN,5,9,2
488,или,или,CONJ,5,9,3
489,воля,воля,NOUN,5,9,4
490,провидения,провидение,NOUN,5,9,5
491,а,а,CONJ,5,9,6
492,может,мочь,VERB,5,9,7
493,быть,быть,INFN,5,9,8
494,направляющая,направлять,PRTF,5,9,9
495,рука,рука,NOUN,5,9,10
496,господа,господин,NOUN,5,9,11
497,в,в,PREP,5,9,12
498,которого,который,ADJF,5,9,13
499,я,я,NPRO,5,9,14
500,начал,начать,VERB,5,9,15
501,в,в,PREP,5,9,16
502,последнее,последний,ADJF,5,9,17
503,время,время,NOUN,5,9,18
504,верить,верить,INFN,5,9,19
505,выстроили,выстроить,VERB,5,9,20
506,события,событие,NOUN,5,9,21
507,именно,именно,PRCL,5,9,22
508,так,так,CONJ,5,9,23
509,как,как,CONJ,5,9,24
510,они,они,NPRO,5,9,25
511,произошли,произойти,VERB,5,9,26
512,самая,самый,ADJF,6,1,1
513,жестокая,жестокий,ADJF,6,1,2
514,тирания,тирания,NOUN,6,1,3
515,та,тот,ADJF,6,1,4
516,которая,который,ADJF,6,1,5
517,выступает,выступать,VERB,6,1,6
518,под,под,PREP,6,1,7
519,сенью,сень,NOUN,6,1,8
520,законности,законность,NOUN,6,1,9
521,и,и,CONJ,6,1,10
522,под,под,PREP,6,1,11
523,флагом,флаг,NOUN,6,1,12
524,справедливости,справедливость,NOUN,6,1,13
525,шарль,шарль,NOUN,6,2,1
526,монтескье,монтеские,NOUN,6,2,2
527,лучше,хороший,COMP,6,2,3
528,быть,быть,INFN,6,2,4
529,свиньёй,свинья,NOUN,6,2,5
530,ирода,ирод,NOUN,6,2,6
531,чем,чем,CONJ,6,2,7
532,его,он,NPRO,6,2,8
533,сыном,сын,NOUN,6,2,9
534,октавиан,октавиан,NOUN,6,3,1
535,август,август,NOUN,6,3,2
536,цезарь,цезарь,NOUN,6,3,3
537,часть,часть,NOUN,6,3,4
538,первая,первый,ADJF,6,3,5
539,возвращение,возвращение,NOUN,6,4,1
540,дронго,дронго,NOUN,6,4,2
541,когда,когда,CONJ,6,4,3
542,же,же,PRCL,6,4,4
543,иисус,иисус,NOUN,6,4,5
544,родился,родиться,VERB,6,4,6
545,в,в,PREP,6,4,7
546,вифлееме,вифлеем,NOUN,6,4,8
547,иудейском,иудейский,ADJF,6,4,9
548,во,в,PREP,6,4,10
549,дни,день,NOUN,6,4,11
550,царя,царь,NOUN,6,4,12
551,ирода,ирод,NOUN,6,4,13
552,пришли,прислать,VERB,6,4,14
553,в,в,PREP,6,4,15
554,иерусалим,иерусалим,NOUN,6,4,16
555,волхвы,волхв,NOUN,6,4,17
556,с,с,PREP,6,4,18
557,востока,восток,NOUN,6,4,19
558,и,и,CONJ,6,4,20
559,говорят,говорить,VERB,6,4,21
560,где,где,ADVB,6,4,22
561,родившийся,родиться,PRTF,6,4,23
562,царь,царь,NOUN,6,4,24
563,иудейский,иудейский,ADJF,6,4,25
564,ибо,ибо,CONJ,6,5,1
565,мы,мы,NPRO,6,5,2
566,видели,видеть,VERB,6,5,3
567,звезду,звезда,NOUN,6,5,4
568,его,он,NPRO,6,5,5
569,на,на,PREP,6,5,6
570,востоке,восток,NOUN,6,5,7
571,и,и,CONJ,6,5,8
572,пришли,прислать,VERB,6,5,9
573,поклониться,поклониться,INFN,6,5,10
